msa,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,year,id
12060,23----,,G,146701,G,1640811,G,6702573,13545,8950,1915,1308,863,298,150,32,25,4,3,1,0,0,2007,623
12060,236///,,G,34397,G,505758,G,1973027,4212,3148,474,300,172,76,29,4,8,1,1,0,0,0,2007,635
12060,2361//,,G,13691,G,190758,G,704433,3186,2631,298,147,69,25,16,0,0,0,0,0,0,0,2007,637
12060,23611/,,G,13691,G,190758,G,704433,3186,2631,298,147,69,25,16,0,0,0,0,0,0,0,2007,645
12060,236115,,G,2960,G,42662,G,148107,786,667,59,38,17,1,4,0,0,0,0,0,0,0,2007,659
12060,236116,,G,1096,G,20390,G,81548,79,43,16,7,5,6,2,0,0,0,0,0,0,0,2007,660
12060,236117,,G,5794,G,91727,G,322057,1006,793,109,53,29,14,8,0,0,0,0,0,0,0,2007,675
12060,236118,,G,3841,G,35979,G,152721,1315,1128,114,49,18,4,2,0,0,0,0,0,0,0,2007,678
12060,2362//,,G,20706,G,315000,G,1268594,1026,517,176,153,103,51,13,4,8,1,1,0,0,0,2007,691
12060,23621/,,G,2189,G,28621,G,141566,58,29,8,8,3,6,2,1,1,0,0,0,0,0,2007,696
12060,236210,,G,2189,G,28621,G,141566,58,29,8,8,3,6,2,1,1,0,0,0,0,0,2007,704
12060,23622/,,G,18517,G,286379,G,1127028,968,488,168,145,100,45,11,3,7,1,1,0,0,0,2007,712
12060,236220,,G,18517,G,286379,G,1127028,968,488,168,145,100,45,11,3,7,1,1,0,0,0,2007,720
12060,237///,,G,23673,G,281911,G,1113679,1100,553,192,138,126,49,28,8,4,2,1,1,0,0,2007,731
12060,2371//,,G,13029,G,156323,G,582864,468,171,93,74,75,32,16,5,1,1,0,1,0,0,2007,733
12060,23711/,,G,5718,G,57005,G,229164,285,99,68,42,48,18,7,3,0,0,0,0,0,0,2007,747
12060,237110,,G,5718,G,57005,G,229164,285,99,68,42,48,18,7,3,0,0,0,0,0,0,2007,755
12060,23712/,,G,1653,H,26700,H,101917,33,12,3,3,6,5,3,0,1,0,0,0,0,0,2007,757
12060,237120,,G,1653,H,26700,H,101917,33,12,3,3,6,5,3,0,1,0,0,0,0,0,2007,765
12060,23713/,,G,5658,H,72618,G,251783,150,60,22,29,21,9,6,2,0,1,0,1,0,0,2007,779
12060,237130,,G,5658,H,72618,G,251783,150,60,22,29,21,9,6,2,0,1,0,1,0,0,2007,787
12060,2372//,,G,1895,G,24435,G,100523,384,277,59,32,13,3,0,0,0,0,0,0,0,0,2007,790
12060,23721/,,G,1895,G,24435,G,100523,384,277,59,32,13,3,0,0,0,0,0,0,0,0,2007,798
12060,237210,,G,1895,G,24435,G,100523,384,277,59,32,13,3,0,0,0,0,0,0,0,0,2007,806
12060,2373//,,G,7244,G,86697,G,369354,171,69,23,25,30,10,7,3,3,1,1,0,0,0,2007,817
12060,23731/,,G,7244,G,86697,G,369354,171,69,23,25,30,10,7,3,3,1,1,0,0,0,2007,825
12060,237310,,G,7244,G,86697,G,369354,171,69,23,25,30,10,7,3,3,1,1,0,0,0,2007,833
12060,2379//,,G,1505,G,14456,G,60938,77,36,17,7,8,4,5,0,0,0,0,0,0,0,2007,838
12060,23799/,,G,1505,G,14456,G,60938,77,36,17,7,8,4,5,0,0,0,0,0,0,0,2007,846
12060,237990,,G,1505,G,14456,G,60938,77,36,17,7,8,4,5,0,0,0,0,0,0,0,2007,854
12060,238///,,G,88631,G,853142,G,3615867,8233,5249,1249,870,565,173,93,20,13,1,1,0,0,0,2007,867
12060,2381//,,G,22069,G,198453,G,789941,1684,1056,238,182,134,42,22,4,5,1,1,0,0,0,2007,875
12060,23811/,,G,9149,G,75592,G,321509,434,207,73,64,58,17,10,2,3,0,0,0,0,0,2007,883
12060,238110,,G,9149,G,75592,G,321509,434,207,73,64,58,17,10,2,3,0,0,0,0,0,2007,891
12060,23812/,,G,1337,G,11836,G,50940,55,19,8,10,9,6,3,0,0,0,0,0,0,0,2007,893
12060,238120,,G,1337,G,11836,G,50940,55,19,8,10,9,6,3,0,0,0,0,0,0,0,2007,901
12060,23813/,,G,593,G,4180,G,18050,181,151,20,5,4,1,0,0,0,0,0,0,0,0,2007,912
12060,238130,,G,593,G,4180,G,18050,181,151,20,5,4,1,0,0,0,0,0,0,0,0,2007,920
12060,23814/,,G,2454,G,21894,G,93980,321,230,49,23,12,4,2,0,1,0,0,0,0,0,2007,931
12060,238140,,G,2454,G,21894,G,93980,321,230,49,23,12,4,2,0,1,0,0,0,0,0,2007,939
12060,23815/,,G,1159,G,11897,G,51205,115,54,22,28,9,0,2,0,0,0,0,0,0,0,2007,940
12060,238150,,G,1159,G,11897,G,51205,115,54,22,28,9,0,2,0,0,0,0,0,0,0,2007,948
12060,23816/,,G,3136,G,28120,G,122538,286,189,32,30,23,7,4,1,0,0,0,0,0,0,2007,961
12060,238160,,G,3136,G,28120,G,122538,286,189,32,30,23,7,4,1,0,0,0,0,0,0,2007,969
12060,23817/,,H,2060,H,13876,H,54201,194,157,18,7,9,2,0,0,0,1,1,0,0,0,2007,978
12060,238170,,H,2060,H,13876,H,54201,194,157,18,7,9,2,0,0,0,1,1,0,0,0,2007,986
12060,23819/,,G,2181,H,31058,G,77518,98,49,16,15,10,5,1,1,1,0,0,0,0,0,2007,988
12060,238190,,G,2181,H,31058,G,77518,98,49,16,15,10,5,1,1,1,0,0,0,0,0,2007,996
12060,2382//,,G,38206,G,396397,G,1717958,3238,1878,584,403,240,80,37,10,6,0,0,0,0,0,2007,1010
12060,23821/,,G,17485,G,179026,G,761595,1485,871,269,172,104,43,19,4,3,0,0,0,0,0,2007,1018
12060,238210,,G,17485,G,179026,G,761595,1485,871,269,172,104,43,19,4,3,0,0,0,0,0,2007,1026
12060,23822/,,G,18881,G,193964,G,858369,1620,934,296,209,124,34,14,6,3,0,0,0,0,0,2007,1035
12060,238220,,G,18881,G,193964,G,858369,1620,934,296,209,124,34,14,6,3,0,0,0,0,0,2007,1043
12060,23829/,,G,1840,G,23407,G,97994,133,73,19,22,12,3,4,0,0,0,0,0,0,0,2007,1045
12060,238290,,G,1840,G,23407,G,97994,133,73,19,22,12,3,4,0,0,0,0,0,0,0,2007,1053
12060,2383//,,G,15469,G,140996,G,606318,2142,1605,243,146,95,31,18,2,2,0,0,0,0,0,2007,1065
12060,23831/,,G,5283,G,48620,G,206906,408,273,44,42,28,10,9,1,1,0,0,0,0,0,2007,1074
12060,238310,,G,5283,G,48620,G,206906,408,273,44,42,28,10,9,1,1,0,0,0,0,0,2007,1082
12060,23832/,,G,2706,G,24169,G,109690,605,501,54,32,8,7,3,0,0,0,0,0,0,0,2007,1091
12060,238320,,G,2706,G,24169,G,109690,605,501,54,32,8,7,3,0,0,0,0,0,0,0,2007,1099
12060,23833/,,G,1442,G,16071,G,67124,260,194,34,13,15,3,1,0,0,0,0,0,0,0,2007,1103
12060,238330,,G,1442,G,16071,G,67124,260,194,34,13,15,3,1,0,0,0,0,0,0,0,2007,1111
12060,23834/,,G,793,G,6932,G,29486,146,99,25,12,8,2,0,0,0,0,0,0,0,0,2007,1119
12060,238340,,G,793,G,6932,G,29486,146,99,25,12,8,2,0,0,0,0,0,0,0,0,2007,1127
12060,23835/,,G,2676,G,23191,G,96893,566,440,62,35,22,6,1,0,0,0,0,0,0,0,2007,1137
12060,238350,,G,2676,G,23191,G,96893,566,440,62,35,22,6,1,0,0,0,0,0,0,0,2007,1145
12060,23839/,,G,2569,G,22013,G,96219,157,98,24,12,14,3,4,1,1,0,0,0,0,0,2007,1149
12060,238390,,G,2569,G,22013,G,96219,157,98,24,12,14,3,4,1,1,0,0,0,0,0,2007,1157
12060,2389//,,G,12887,G,117296,G,501650,1169,710,184,139,96,20,16,4,0,0,0,0,0,0,2007,1165
12060,23891/,,G,8619,G,79370,G,342008,635,385,93,75,51,13,14,4,0,0,0,0,0,0,2007,1179
12060,238910,,G,8619,G,79370,G,342008,635,385,93,75,51,13,14,4,0,0,0,0,0,0,2007,1187
12060,23899/,,G,4268,G,37926,G,159642,534,325,91,64,45,7,2,0,0,0,0,0,0,0,2007,1195
12060,238990,,G,4268,G,37926,G,159642,534,325,91,64,45,7,2,0,0,0,0,0,0,0,2007,1203
12060,31----,,G,155799,G,1702560,G,6914633,4308,1624,706,647,632,338,255,77,25,4,2,1,0,1,2007,1211
12060,311///,,G,18739,G,164351,G,686364,234,70,34,32,28,16,31,13,9,1,1,0,0,0,2007,1212
12060,3111//,E,D,0,D,0,D,0,13,5,1,2,4,0,0,1,0,0,0,0,0,0,2007,1220
12060,31111/,E,D,0,D,0,D,0,13,5,1,2,4,0,0,1,0,0,0,0,0,0,2007,1228
12060,311111,E,D,0,D,0,D,0,4,1,0,1,1,0,0,1,0,0,0,0,0,0,2007,1240
12060,311119,C,S,0,H,1513,H,6127,9,4,1,1,3,0,0,0,0,0,0,0,0,0,2007,1244
