year,naics,usa_employment
2011,443000,430675
2011,444000,1122070
2011,445000,2688421
2011,446000,938818
2011,447000,736867
2011,448000,1635095
2011,451000,533051
2011,452000,2750152
2011,453000,694581
2011,454000,526988
2011,480000,3943244
2011,481000,426990
2011,483000,70968
2011,484000,1237340
2011,485000,440977
2011,486000,44992
2011,487000,24264
2011,488000,575239
2011,492000,527351
2011,493000,642239
2011,510000,3040598
2011,511000,839706
2011,512000,312410
2011,515000,262890
2011,517000,1085640
2011,518000,395137
2011,519000,182052
2011,520000,5634264
2011,521000,21325
2011,522000,2622366
2011,523000,872625
2011,524000,2129627
2011,525000,4415
2011,530000,1872904
2011,531000,1369449
2011,532000,480151
2011,533000,31704
2011,540000,7628753
2011,541000,7628753
2011,550000,2910818
2011,551000,2910818
2011,560000,7207481
2011,561000,6869989
2011,562000,344410
2011,610000,3323364
2011,611000,3323364
2011,620000,17210434
2011,621000,6121986
2011,622000,5510806
2011,623000,3014871
2011,624000,2651963
2011,710000,1944063
2011,711000,431775
2011,712000,128255
2011,713000,1397464
2011,720000,11066549
2011,721000,1747926
2011,722000,9321768
2011,810000,4975627
2011,811000,1106359
2011,812000,1281922
2011,813000,2590252
2011,990000,20267
2012,000000,108698070
2012,110000,129816
2012,113000,35745
2012,114000,7635
2012,115000,91559
2012,210000,487864
2012,211000,91084
2012,212000,149223
2012,213000,253794
2012,220000,599142
2012,221000,599142
2012,230000,5008031
2012,236000,991076
2012,237000,786983
2012,238000,3230198
2012,310000,10338166
2012,311000,1274918
2012,312000,152178
2012,313000,97893
2012,314000,106019
2012,315000,107835
2012,316000,25741
2012,321000,260137
2012,322000,334016
2012,323000,460830
2012,324000,98578
2012,325000,722371
2012,326000,655144
2012,327000,325777
2012,331000,376159
2012,332000,1296463
2012,333000,976496
2012,334000,852088
2012,335000,330572
2012,336000,1283931
2012,337000,313992
2012,339000,542533
2012,420000,5471745
2012,423000,3133737
2012,424000,2076437
2012,425000,272159
2012,440000,14098887
2012,441000,1636675
2012,442000,412929
2012,443000,423614
2012,444000,1101537
2012,445000,2726887
2012,446000,966769
2012,447000,751783
2012,448000,1611358
2012,451000,505457
2012,452000,2768401
2012,453000,690899
2012,454000,580243
2012,480000,4069560
2012,481000,474415
2012,483000,74635
2012,484000,1244362
2012,485000,455679
2012,486000,49009
2012,487000,24309
2012,488000,634120
2012,492000,529501
2012,493000,680321
2012,510000,3067380
2012,511000,824846
2012,512000,319397
2012,515000,274800
2012,517000,1033750
2012,518000,435400
2012,519000,223600
2012,520000,5718565
2012,521000,20700
2012,522000,2638775
2012,523000,897684
2012,524000,2149030
2012,525000,6137
2012,530000,1899555
2012,531000,1402367
2012,532000,468762
2012,533000,34048
2012,540000,7715947
2012,541000,7715947
2012,550000,3033366
2012,551000,3033366
2012,560000,7627922
2012,561000,7278785
2012,562000,356110
2012,610000,3410378
2012,611000,3410378
2012,620000,17558701
2012,621000,6201293
2012,622000,5649370
2012,623000,3081284
2012,624000,2718268
2012,710000,2004814
2012,711000,441001
2012,712000,137684
2012,713000,1438549
2012,720000,11516438
2012,721000,1832502
2012,722000,9690624
2012,810000,5058056
2012,811000,1127048
2012,812000,1299476
2012,813000,2632986
2012,990000,11502
2013,000000,110695690
2013,110000,120311
2013,113000,36599
2013,114000,7237
2013,115000,81838
2013,210000,501661
2013,211000,96516
2013,212000,152316
2013,213000,261429
2013,220000,607860
2013,221000,607860
2013,230000,5208388
2013,236000,1071569
2013,237000,808690
2013,238000,3336793
2013,310000,10422002
2013,311000,1274404
2013,312000,162577
2013,313000,97836
2013,314000,109106
2013,315000,107800
2013,316000,24688
2013,321000,272804
2013,322000,334291
2013,323000,453469
2013,324000,101181
2013,325000,727038
2013,326000,662156
2013,327000,330520
