id,year,naics,msa_total,msa_share,atl_total,atl_share,atl_location_quotient,basic_emp,n_basic_emp,emp_mul
189,2007,3118//,288006,0.003,6311,0.003,1.120,6295,16,10.697
190,2007,31181/,228123,0.002,4548,0.002,1.019,4539,9,1.845
191,2007,311811,59878,0.001,462,0.000,0.394,0,462,
192,2007,311812,149640,0.001,3179,0.001,1.086,3175,4,7.887
193,2007,311813,21394,0.000,750,0.000,1.791,750,0,44.179
194,2007,31182/,46507,0.000,1038,0.000,1.141,1038,0,12.323
195,2007,311821,29515,0.000,375,0.000,0.649,0,375,
196,2007,311822,13410,0.000,750,0.000,2.858,750,0,65.011
197,2007,311823,4269,0.000,10,0.000,0.120,0,10,
198,2007,31183/,15648,0.000,725,0.000,2.368,725,0,57.764
199,2007,311830,15648,0.000,725,0.000,2.368,725,0,57.764
200,2007,3119//,160029,0.001,2457,0.001,0.785,0,2457,
201,2007,31191/,43931,0.000,175,0.000,0.204,0,175,
202,2007,311911,12540,0.000,10,0.000,0.041,0,10,
203,2007,311919,31430,0.000,60,0.000,0.098,0,60,
204,2007,31192/,14676,0.000,60,0.000,0.209,0,60,
205,2007,311920,14676,0.000,60,0.000,0.209,0,60,
206,2007,31193/,6758,0.000,375,0.000,2.836,375,0,64.734
207,2007,311930,6758,0.000,375,0.000,2.836,375,0,64.734
208,2007,31194/,33194,0.000,1117,0.001,1.720,1117,0,41.847
209,2007,311941,15705,0.000,800,0.000,2.603,800,0,61.584
210,2007,311942,17811,0.000,317,0.000,0.910,0,317,
211,2007,31199/,68441,0.001,936,0.000,0.699,0,936,
212,2007,311991,37812,0.000,535,0.000,0.723,0,535,
213,2007,311999,31223,0.000,401,0.000,0.656,0,401,
214,2007,312///,161144,0.001,2537,0.001,0.805,0,2537,
215,2007,3121//,139174,0.001,2411,0.001,0.885,0,2411,
216,2007,31211/,73363,0.001,1485,0.001,1.034,1484,1,3.325
217,2007,312111,57698,0.001,1199,0.001,1.062,1198,1,5.831
218,2007,312112,10418,0.000,175,0.000,0.858,0,175,
219,2007,312113,7108,0.000,175,0.000,1.258,175,0,20.517
220,2007,31212/,30196,0.000,750,0.000,1.269,750,0,21.213
221,2007,312120,30196,0.000,750,0.000,1.269,750,0,21.213
222,2007,31213/,33316,0.000,28,0.000,0.043,0,28,
223,2007,312130,33316,0.000,28,0.000,0.043,0,28,
224,2007,31214/,6613,0.000,60,0.000,0.464,0,60,
225,2007,312140,6613,0.000,60,0.000,0.464,0,60,
226,2007,3122//,21209,0.000,175,0.000,0.422,0,175,
227,2007,31222/,18656,0.000,175,0.000,0.479,0,175,
228,2007,312229,7270,0.000,175,0.000,1.230,175,0,18.706
229,2007,313///,149969,0.001,2445,0.001,0.833,0,2445,
230,2007,3131//,39989,0.000,434,0.000,0.555,0,434,
231,2007,31311/,39989,0.000,434,0.000,0.555,0,434,
232,2007,313111,22747,0.000,375,0.000,0.842,0,375,
233,2007,313112,14800,0.000,60,0.000,0.207,0,60,
234,2007,313113,1391,0.000,60,0.000,2.204,60,0,54.633
235,2007,3132//,75512,0.001,1093,0.000,0.740,0,1093,
236,2007,31321/,35327,0.000,636,0.000,0.920,0,636,
237,2007,313210,35327,0.000,636,0.000,0.920,0,636,
238,2007,31322/,9859,0.000,100,0.000,0.518,0,100,
239,2007,313221,7967,0.000,60,0.000,0.385,0,60,
240,2007,313222,1752,0.000,10,0.000,0.292,0,10,
241,2007,31323/,20920,0.000,375,0.000,0.916,0,375,
242,2007,313230,20920,0.000,375,0.000,0.916,0,375,
243,2007,31324/,12116,0.000,60,0.000,0.253,0,60,
244,2007,313241,5386,0.000,60,0.000,0.569,0,60,
245,2007,313249,6864,0.000,10,0.000,0.074,0,10,
246,2007,3133//,40877,0.000,918,0.000,1.148,918,0,12.863
247,2007,31331/,31451,0.000,351,0.000,0.570,0,351,
248,2007,313311,18770,0.000,60,0.000,0.163,0,60,
249,2007,313312,13498,0.000,259,0.000,0.981,0,259,
250,2007,31332/,10249,0.000,750,0.000,3.740,750,0,73.259
251,2007,313320,10249,0.000,750,0.000,3.740,750,0,73.259
252,2007,314///,147101,0.001,4642,0.002,1.613,4636,6,37.988
253,2007,3141//,77185,0.001,1750,0.001,1.159,1749,1,13.690
254,2007,31411/,43722,0.000,1750,0.001,2.045,1749,1,51.109
255,2007,314110,43722,0.000,1750,0.001,2.045,1749,1,51.109
256,2007,31412/,36188,0.000,1750,0.001,2.471,1749,1,59.534
257,2007,314121,13507,0.000,230,0.000,0.870,0,230,
258,2007,314129,23892,0.000,1750,0.001,3.743,1750,0,73.284
259,2007,3149//,71925,0.001,2214,0.001,1.573,2213,1,36.428
260,2007,31491/,27756,0.000,419,0.000,0.771,0,419,
261,2007,314911,6979,0.000,10,0.000,0.073,0,10,
262,2007,314912,21728,0.000,411,0.000,0.967,0,411,
263,2007,31499/,46251,0.000,1795,0.001,1.983,1794,1,49.578
264,2007,314991,4598,0.000,60,0.000,0.667,0,60,
265,2007,314992,3865,0.000,175,0.000,2.314,175,0,56.781
266,2007,314999,38246,0.000,1529,0.001,2.043,1528,1,51.051
267,2007,315///,183689,0.002,1218,0.001,0.339,0,1218,
268,2007,3151//,25557,0.000,60,0.000,0.120,0,60,
269,2007,31511/,17849,0.000,60,0.000,0.172,0,60,
270,2007,315119,13801,0.000,60,0.000,0.222,0,60,
271,2007,31519/,7427,0.000,10,0.000,0.069,0,10,
272,2007,315191,6399,0.000,10,0.000,0.080,0,10,
273,2007,3152//,147115,0.001,1008,0.000,0.350,0,1008,
274,2007,31521/,74943,0.001,570,0.000,0.389,0,570,
275,2007,315211,16051,0.000,375,0.000,1.194,375,0,16.240
276,2007,315212,59876,0.001,180,0.000,0.154,0,180,
277,2007,31522/,25784,0.000,175,0.000,0.347,0,175,
278,2007,315222,7810,0.000,60,0.000,0.393,0,60,
279,2007,315223,4375,0.000,60,0.000,0.701,0,60,
280,2007,315225,6764,0.000,10,0.000,0.076,0,10,
281,2007,315228,4500,0.000,60,0.000,0.681,0,60,
282,2007,31523/,37881,0.000,263,0.000,0.355,0,263,
283,2007,315232,10897,0.000,10,0.000,0.047,0,10,
284,2007,315233,8741,0.000,10,0.000,0.058,0,10,
285,2007,315234,2243,0.000,60,0.000,1.367,60,0,26.845
286,2007,315239,14528,0.000,172,0.000,0.605,0,172,
287,2007,31529/,12484,0.000,60,0.000,0.246,0,60,
288,2007,315291,620,0.000,10,0.000,0.824,0,10,
289,2007,315292,1114,0.000,10,0.000,0.459,0,10,
290,2007,315299,11014,0.000,60,0.000,0.278,0,60,
291,2007,3159//,14665,0.000,162,0.000,0.565,0,162,
292,2007,31599/,14665,0.000,162,0.000,0.565,0,162,
293,2007,315991,4678,0.000,10,0.000,0.109,0,10,
294,2007,315999,7191,0.000,175,0.000,1.244,175,0,19.589
295,2007,316///,35998,0.000,60,0.000,0.085,0,60,
296,2007,3161//,5142,0.000,10,0.000,0.099,0,10,
297,2007,31611/,5142,0.000,10,0.000,0.099,0,10,
298,2007,316110,5142,0.000,10,0.000,0.099,0,10,
299,2007,3162//,14167,0.000,10,0.000,0.036,0,10,
300,2007,31621/,14167,0.000,10,0.000,0.036,0,10,
301,2007,316211,2154,0.000,10,0.000,0.237,0,10,
302,2007,3169//,16884,0.000,60,0.000,0.182,0,60,
303,2007,31699/,16884,0.000,60,0.000,0.182,0,60,
304,2007,316991,5716,0.000,10,0.000,0.089,0,10,
305,2007,316992,2493,0.000,10,0.000,0.205,0,10,
306,2007,316993,3410,0.000,10,0.000,0.150,0,10,
307,2007,316999,5775,0.000,10,0.000,0.088,0,10,
308,2007,321///,405706,0.004,5443,0.002,0.686,0,5443,
309,2007,3211//,75292,0.001,751,0.000,0.510,0,751,
310,2007,32111/,75292,0.001,751,0.000,0.510,0,751,
311,2007,321113,64573,0.001,345,0.000,0.273,0,345,
312,2007,321114,13540,0.000,406,0.000,1.532,406,0,34.738
313,2007,3212//,90431,0.001,1745,0.001,0.986,0,1745,
314,2007,32121/,90431,0.001,1745,0.001,0.986,0,1745,
315,2007,321212,15882,0.000,750,0.000,2.413,750,0,58.561
316,2007,321213,7362,0.000,10,0.000,0.069,0,10,
317,2007,321214,40094,0.000,869,0.000,1.108,869,0,9.713
318,2007,321219,15988,0.000,175,0.000,0.559,0,175,
319,2007,3219//,248423,0.002,2947,0.001,0.606,0,2947,
320,2007,32191/,122773,0.001,1931,0.001,0.804,0,1931,
321,2007,321911,64199,0.001,834,0.000,0.664,0,834,
322,2007,321912,22546,0.000,60,0.000,0.136,0,60,
323,2007,321918,39481,0.000,1051,0.000,1.360,1051,0,26.489
324,2007,32192/,50617,0.000,795,0.000,0.803,0,795,
325,2007,321920,50617,0.000,795,0.000,0.803,0,795,
326,2007,32199/,83888,0.001,175,0.000,0.107,0,175,
